Titulo;Autores;Ano_Publicacao;Revista;Pais;DOI;Tipo_Investigacao;Dimensao_Temporal;Comparacao_Sujeitos;Amostra_Info;Marcadores_Amostra;Processos_Matematicos;Comparacao_Tarefa;Variaveis_Fisiologicas;Variaveis_Psicologicas;Variaveis_Comportamentais;Posicao_Eletrodos;Equipamento;Tecnologia_Eletrodos;Pre_Processamento;Faixas_Frequencia;Software_Analise;Abordagem_Estatistica;Classificacao_ML;Acesso_Dados;Revisor;Notas;Recomendacao
Differences in event-related potential (ERP) responses to small tie, non-tie and 1-problems in addition and multiplication;Jeanne Bagnoud, Jasinta Dewi, Catherine Thevenot;2021;Neuropsychologia;Suíça (filiação dos autores);https://doi.org/10.1016/j.neuropsychologia.2021.107771;Quase-experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects);"25 students (ages 18–24; mean age 21.24). Healthy adults (3 left-handed and 8 excluded due to EEG recording errors).";students;One-digit addition and multiplication problems with operands from 1 to 5. Categories: Tie problems, Nontie problems, 1problems.;different difficulty levels within the task itself (the authors do not compare the mathematical task with a non-mathematical task).;-;-;Accuracy. Solution times. Reported retrieval rate (%).;anterior frontal, frontal, parietal, occipital;Electroencephalography (EEG) with Biosemi ActiveTwo system. QWERTZ keyboard.;64 electrodes (10-20 layout). Electrodes grouped into 9 areas and 3 lateral zones (left, right, midline).;(revisar pre-processamento);The study did not explicitly analyze canonical frequency bands (e.g., alpha, beta). Instead, filtering was applied using a 50 Hz notch filter, a 0.01 Hz high-pass filter, and a 60 Hz low-pass filter.;Python (mne), R.PsychoPy;ANOVA, Greenhouse-Geisser correction, Holm correction, Bayesian t-tests.;-;1;Eduarda e Felipe;;
EEG correlates of math anxiety during arithmetic problem solving: Implication for attention deficits;Jie Liu, Jinqi Li, Weiwei Peng, Mengjiao Feng, Yuejia Luo;2019;Neuroscience Letters;China;10.1016/j.neulet.2019.03.047;Quase-experimental;Transversal (Cross-sectional);Entre-sujeitos (Between-subjects);"74 right-handed university students (HMA: 19.88 y; LMA: 19.53 y)";students, math anxiety;Division and mod problems;anticipation period before a problem appears;EOG;SMARS, STAI;Accuracy and RT (outliers removed).;anterior frontal, frontal, parietal, occipital;EEG (Brain Products), E-Prime 2.0, EOG.;64 Ag/AgCl scalp electrodes (10–20 system).;Epoching (−1000 to +1000 ms), baseline correction;Beta (18–26 Hz) Gamma (31–40 Hz and 32–45 Hz). Lower bands were also included in the analysis (1-8 Hz);Python (mne), R, EEGLAB.Matlab, E-Prime;Two-way mixed ANOVA, point-by-point two-way mixed ANOVA with permutation testing, hierarchical linear regression, and post-hoc t-tests.;-;1;Eduarda e Felipe;;
EEG coherence in a mental arithmetic task performance in first episode schizophrenia and schizoaffective disorder;Yuliya Zaytseva, Zhanna Garakh, Vladimir NovototskyVlasov, Isaac Ya. Gurovich, Alexander Shmukler, Anna Papaefstathiou, Jiří Horáček, Filip Španiel, Valeria B. Strelets;2018;Clinical Neurophysiology;República Tcheca / Federação Russa;10.1016/j.clinph.2018.08.020;Quase-experimental;Transversal (Cross-sectional);Entre-sujeitos (Between-subjects);32 SZ, 32 SA, 40 HC. Matched for gender, age, education.;schizophrenia or schizoaffective disorder;serial subtraction (Kraepelin counting, −7 from 200);resting state baseline;-;PANSS;Correct answers, counting speed.;Frontal/posterior, inter/intrahemispheric, midline.;EEG Mapper (MBM, Russia).;19 electrodes (10–20 system). 4 participants had 16.;low-pass filter at 70 Hz and a time constant of 0.3s;Delta: 1.5-3.9 Hz Theta: 4-7 Hz Alpha: 8-13 Hz Beta1: 13-20 Hz Beta2: 20-30 Hz Gamma: 30-40 Hz;STATISTICA 10.0custom-designed software was used for coherence analysis and preprocessing, with the help of an EEG mapper (MBM, Russia);t-test, repeated measures ANOVA, one-way ANOVA, two-way ANOVA, post-hoc comparisons with Bonferroni correction, Pearson correlation with FDR correction.;-;1;Eduarda e Felipe;;
Visualization of Human Cognitive States Monitored by Highdensity EEG Arrays;J. J. J. Davis, R. Kozma;2018;Procedia Computer Science;Nova Zelândia / EUA;10.1016/j.procs.2018.10.522;Quase-experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects);3 adults (2 advanced meditators, 1 novice).;meditators;Arithmetic processing after verbal prompt (MathMind);meditative state with eyes closed and a state of open eyes with minimal blinking;HRV, sleep monitoring, pulse and BP pre-experiment.;-;-;Full scalp/face..;HydroCel Geodesic Sensor Net (HCGSN) by Electrical Geodesics, Inc. (EGI), 256 channels. Other: HeartMath emWave Pro (for HRV) and a Sleep Tracker.;256 electrodes (16×16 matrix)., HydroCel Geodesic Sensor Net (HCGSN);(revisar pre-processamento);Theta: 4-6 Hz Alpha: 8-12 Hz Low Beta: 14-18 Hz High Beta: 20-26 Hz Low Gamma: 28-36 Hz High Gamma: 38-48 Hz;-;"Comparative statistical analysis between modalities; Mean Frequency (MFAC(t)) calculation; Mean of differences in frequency between modalities (MDIFF(t)) calculation; Boxplots; Euclidean Distance (ED) calculation; Mean and 95% confidence intervals calculation";-;1;Eduarda e Felipe;;
Power Spectral Density Changes in the EEG during Mental Arithmetic and Eye-Opening;;1969;Psychol. Forsch.;UK;https://doi.org/10.1007/BF00424979;Experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects);15 subjects, with 11 subjects in the complete experiment;-;Mental arithmetic, specifically solving two-digit multiplication problems;"""eyes closed"" resting condition and the ""eyes open"" condition";-;-;Performance;bipolar electrodes placement: C3-P3, P3-O1, C4-P4, P4-O2;Ampex Portable Instrumentation as equipament of eeg and a Oscilloscope;4 bipolar electrodes made of silver;(revisar pre-processamento);The frequencies analyzed were from 0 to 30 Hz, in increments of 2.5 Hz. (Delta, Alfa and Beta);Noratom Instrument for Statistical Analysis and Computation (ISAC);"Calculation of Ratios using Comparison ""t"" tests.";-;1;Felipe;;
A tensorial approach to access cognitive worload related to mental arithmetic from eeg functional connectivity estimates;S.I. Dimitriadis, Yu Sun, K. Kwok, N.A. Laskaris, A. Bezerianos*;2013;35th Annual International Conference of the IEEE EMBS;Grécia;10.1109/EMBC.2013.6610156;Quase-experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects);1 Single participant (male).;-;Mental arithmetic task (addition);different difficulty levels within the task itself (the authors do not compare the mathematical task with a non-mathematical task).;-;-;reaction time and accuracy (in terms of correct or incorrect responses).;Parieto-occipital regions.;An ActiveTwo Biosemi system was used.;64 channels;PLV – Phase Locking Value, Local Efficiency (LE), Reduced Subgraph Connections and Low-Dimensional Subspace Representation (TSA output);Signals were band-pass filtered from 0.5 to 45 Hz, covering delta, theta, alpha, beta, and gamma bands.;EEGLAB Matlab;Comparison of Local Efficiency and Classifier Validation with cross-validation scheme;TSA, LDA, kNN;1;Felipe;;
Building Networks with a New Cross-Bubble Transition Entropy for Quantitative Assessment of Mental Arithmetic Electroencephalogram;Xiaobi Chen, Guanghua Xu, Sicong Zhang , Xun Zhang and Zhicheng Teng;2022;Applied Sciences;China;https://doi.org/10.3390/app122111165;Estudo Metodológico;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects);36 subjects (9 men and 27 women, aged between 16 and 26 years), whose EEG data met the requirements for analysis after visual inspection. One subject (subject 31) was excluded because the length of their recordings was different from the others.;;subtraction (mental arithmetic);resting state;-;-;cognitive load;prefrontal and frontal lobes (FP1, FP2, F3, Fz, F4, F7, and F8);Neurocom monopolar EEG 23-channel system (from Ukraine, XAI-MEDICA);7 channels, silver/silver chloride electrodes.;Average Clustering Coefficients - ACE and Global Network Efficiency - GNE;1 to 42 Hz - delta, teta, alfa, beta and low-gama;IBM SPSS25.0. for statistics;Nonparametric Permutation Test (Individual Subject Level) and Paired Sample t-test (Group Level);CBTN - Cross-Bubble Transition Network;2;Felipe;;
Inter-brain coupling reflects disciplinary differences in real-world classroom learning;Jingjing Chen, Penghao Qian, Xinqiao Gao, Baosong Li, Yu Zhang and Dan Zhang;2023;Science of learning;China;https://doi.org/10.1038/s41539-023-00162-1;Observacional / Não-experimental;Longitudinal;Entre-sujeitos (Between-subjects), Grupo Único;34 Grade 10 students;high school students;learning mathematics;different academic discipline (Chinese);-;-;final exam scores;frontal lobe: Fp1 and Fp2;headband Brainno, SOSO H&C,;2 channels, dry;Total Interdependence (TI) Method, Student-Class Coupling, Student-Top Coupling;Theta (4-8 Hz) Alpha (8-13 Hz) Low-beta (13-18 Hz) High-beta (18-30 Hz);Matlab language, NoiseTools toolbox, MSDL toolbox;Pearson's correlations and nonparametric permutation tests (5000 permutations);-;2;Felipe;deixaram link com os códigos desenvolvidos;
Cognitive Stress Recognition during Mathematical Task and EEG changes following Audio-Visual Stimuli for Relaxation;Rashmi C R, Dr Shantala C P;2023;ICSCNA 2023;India;10.1109/ICSNA58489.2023.10370715;Quase-experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects);21 to 25 years.;-;arithmetic puzzles.;"non-numeric verbal/perceptual control state, specifically a ""happy state"" induced by watching funny video clips.";-;-;stress and happiness;-;Enobio 8;8-channels;Parks-McClellan optimal finite impulse response (FIR) filter with a frequency range of 2–40 Hz., Relative Band Power;2-40Hz;Matlab language;The primary statistical approach was a comparison of EEG relative band power between the two mental states, presented using error bars.;Long Short Term Memory (LSTM) deep learning model.;1;Felipe;;
EEG Estimates of Engagement and Cognitive Workload Predict Math Problem Solving Outcomes;Federico Cirett Gal´an and Carole R. Beal;2012;20th International Conference, UMAP 2012;USA;https://doi.org/10.1007/978-3-642-31454-4_5;Quase-experimental;Transversal (Cross-sectional);Misto (Mixed Design);16 students (8 males, 8 females), college students who were at least 18 years old;college students;SAT items;resting baseline, different difficulty levels;-;-;Accuracy, Reaction time, Self-assessments (difficulty, confidence, and frustration on a five-point Likert scale).;prefrontal and frontal lobes, with two reference signals attached to the mastoid bones (behind the ears) and two sensors attached to the right clavicle and to the lowest left rib to record the heart rate;-;9 Channels;Engagement/Workload Signal Binning, Transition Probability Table (TPT), Problem Outcome Tagging.;Theta, Alpha, Beta and Sigma wave signals (ranging from 3 Hz to 40 Hz) Note: The frequency ranges are listed as 3-40 Hz for all bands, which is a very broad range and may be a misstatement in the abstract.;Libsvm, Advanced Brain Monitoring;t-tests (matched-pairs), Correlation analysis, Principal components analysis (PCA);Support Vector Machine (SVM);1;Felipe;;
